"id";"dht11_umidade";"dht11_temperatura";"luminosidade";"lm35_temperatura";"chave"
158;52.6;28.7;29.0;33.67;0
159;52.6;28.7;29.0;32.7;0
160;52.5;28.7;28.0;32.7;0
161;52.5;28.7;30.0;32.7;0
162;52.5;28.7;29.0;32.7;0
163;52.5;28.7;29.0;33.18;0
164;52.5;28.7;29.0;33.18;0
165;52.6;28.7;28.0;32.7;0
166;52.6;28.7;29.0;33.18;0
167;52.6;28.7;30.0;31.72;0
168;52.6;28.7;28.0;31.72;0
169;52.6;28.7;29.0;32.7;0
170;52.6;28.7;29.0;33.18;0
171;52.6;28.7;28.0;32.7;0
172;52.6;28.7;27.0;32.7;0
173;52.6;28.7;29.0;32.7;0
174;52.6;28.7;28.0;32.21;0
175;52.6;28.7;27.0;32.7;0
176;52.7;28.7;31.0;33.18;0
177;52.7;28.7;30.0;31.72;0
178;52.7;28.7;27.0;32.21;0
179;52.7;28.7;29.0;33.18;0
180;52.8;28.7;29.0;32.21;0
181;52.8;28.7;28.0;33.18;0
182;52.8;28.7;28.0;31.23;0
183;52.8;28.7;30.0;32.21;0
184;52.8;28.7;30.0;32.21;0
185;52.8;28.7;28.0;32.7;0
186;52.8;28.7;28.0;32.21;0
187;52.9;28.7;29.0;31.72;0
188;52.9;28.7;30.0;32.7;0
189;52.9;28.7;29.0;31.72;0
190;52.9;28.7;28.0;31.72;0
191;52.9;28.7;28.0;33.18;0
192;52.9;28.7;30.0;33.67;0
193;53.0;28.7;30.0;32.21;0
194;53.0;28.7;29.0;32.7;0
195;53.0;28.7;27.0;32.21;0
196;53.0;28.7;29.0;31.72;0
197;53.0;28.7;30.0;32.7;0
198;53.0;28.7;28.0;32.21;0
199;53.0;28.7;29.0;32.21;0
200;53.1;28.7;31.0;32.7;0
201;53.1;28.7;29.0;31.72;0
202;53.1;28.7;29.0;32.7;0
203;53.1;28.7;31.0;31.72;0
204;53.1;28.7;27.0;32.7;0
205;53.1;28.7;27.0;32.21;0
206;53.1;28.7;30.0;28.79;0
207;53.1;28.7;28.0;32.7;0
208;53.1;28.7;27.0;32.21;0
209;53.1;28.7;31.0;31.23;0
210;53.1;28.7;22.0;32.21;0
211;53.1;28.7;27.0;32.21;0
212;53.1;28.7;28.0;33.18;0
213;53.1;28.7;29.0;31.72;0
214;53.1;28.7;30.0;31.72;0
215;53.1;28.7;31.0;33.67;0
216;53.2;28.7;29.0;32.21;0
217;53.3;28.7;28.0;32.21;0
218;53.3;28.7;31.0;32.21;0
219;53.4;28.7;30.0;31.72;0
220;53.4;28.7;29.0;31.72;0
221;53.4;28.7;31.0;32.7;0
222;53.4;28.7;29.0;32.21;1
223;53.4;28.7;30.0;33.67;1
224;53.4;28.7;32.0;31.72;1
225;53.4;28.7;31.0;32.7;1
226;53.4;28.7;30.0;33.67;1
227;53.4;28.7;31.0;32.7;1
228;53.4;28.7;31.0;33.18;1
229;53.4;28.7;30.0;32.21;1
230;53.5;28.7;31.0;32.7;1
231;53.5;28.7;32.0;33.67;1
232;53.5;28.7;28.0;31.72;1
233;53.5;28.7;31.0;32.7;1
234;53.5;28.7;30.0;32.7;1
235;53.5;28.7;29.0;31.72;1
236;53.5;28.7;32.0;33.67;1
237;53.5;28.7;29.0;31.72;1
238;53.5;28.7;31.0;31.23;1
239;53.5;28.7;31.0;33.67;1
240;53.5;28.7;29.0;32.7;1
241;53.4;28.7;32.0;32.7;1
242;53.4;28.7;31.0;31.72;1
243;53.4;28.7;29.0;31.72;1
244;53.4;28.7;30.0;31.72;1
245;53.4;28.7;32.0;32.7;1
246;53.4;28.7;29.0;31.72;1
247;53.5;28.7;29.0;31.23;1
248;53.5;28.7;31.0;33.67;1
249;53.5;28.7;50.0;32.7;1
250;53.5;28.7;49.0;32.21;1
251;53.5;28.7;57.0;31.72;1
252;53.5;28.7;55.0;32.7;1
253;53.4;28.7;48.0;32.21;1
254;53.4;28.7;55.0;30.74;1
255;53.4;28.7;57.0;32.21;1
256;53.4;28.7;51.0;33.18;1
257;53.4;28.7;51.0;32.21;1
258;53.4;28.7;57.0;31.23;1
259;53.4;28.7;49.0;32.21;1
260;53.4;28.7;52.0;31.72;1
261;53.4;28.7;47.0;32.7;1
262;53.4;28.7;47.0;30.74;1
263;53.4;28.7;34.0;32.21;1
264;53.4;28.7;30.0;31.72;1
265;53.4;28.7;54.0;32.7;1
266;53.5;28.7;53.0;36.11;1
267;53.5;28.7;37.0;32.7;1
268;53.6;28.7;34.0;33.67;1
269;53.6;28.7;49.0;31.23;1
270;53.7;28.7;42.0;33.18;1
271;53.7;28.7;39.0;33.18;1
272;53.7;28.7;44.0;34.65;1
273;53.6;28.7;41.0;32.7;1
274;53.6;28.7;38.0;32.21;1
275;53.6;28.7;42.0;33.18;1
276;53.6;28.7;41.0;32.21;1
277;53.6;28.7;37.0;31.72;1
278;53.6;28.7;40.0;31.23;1
279;53.6;28.7;38.0;32.21;1
280;53.6;28.7;36.0;31.72;1
281;53.6;28.7;40.0;34.16;1
282;53.6;28.7;35.0;31.72;1
283;53.6;28.7;37.0;33.18;1
284;53.6;28.7;38.0;31.72;1
285;53.6;28.7;36.0;31.72;1
286;53.6;28.7;39.0;31.72;1
287;53.7;28.6;37.0;32.21;1
288;53.7;28.7;38.0;32.21;1
289;53.7;28.7;40.0;30.74;1
290;53.8;28.7;37.0;32.21;1
291;53.8;28.7;36.0;32.7;1
292;53.9;28.7;39.0;32.21;1
293;53.9;28.6;38.0;32.21;1
294;53.9;28.7;34.0;35.14;1
295;53.9;28.6;36.0;33.67;1
296;53.9;28.7;38.0;31.72;1
297;53.9;28.6;36.0;32.21;1
298;53.9;28.7;34.0;31.72;1
299;53.9;28.7;38.0;32.7;1
300;53.9;28.7;38.0;31.72;1
301;53.9;28.7;34.0;31.23;1
302;53.9;28.7;38.0;32.21;1
303;53.9;28.7;34.0;31.72;1
304;54.0;28.7;35.0;31.72;1
305;54.0;28.7;36.0;32.21;1
306;54.0;28.7;33.0;32.21;1
307;54.0;28.6;36.0;32.7;1
308;54.0;28.6;33.0;31.72;1
309;54.0;28.7;36.0;33.18;1
310;54.0;28.6;36.0;30.74;1
311;53.9;28.6;33.0;31.72;1
312;53.9;28.6;36.0;32.7;1
313;53.9;28.6;33.0;31.72;1
314;53.9;28.6;35.0;31.72;1
315;53.9;28.6;37.0;31.23;1
316;53.9;28.6;34.0;32.21;1
317;53.9;28.6;35.0;32.21;1
318;53.9;28.6;36.0;31.72;1
319;53.9;28.6;33.0;32.7;1
320;53.9;28.6;36.0;32.21;1
321;53.9;28.5;34.0;32.21;1
322;53.9;28.4;34.0;30.26;1
323;53.9;28.4;36.0;31.72;1
324;53.8;28.4;31.0;31.72;1
325;53.8;28.4;35.0;32.7;1
326;53.8;28.4;34.0;31.72;1
327;53.8;28.4;32.0;32.7;1
328;53.8;28.4;36.0;31.72;1
329;53.8;28.4;32.0;33.67;1
330;53.8;28.4;33.0;34.16;1
331;53.8;28.4;35.0;32.7;1
332;53.8;28.4;32.0;30.26;1
333;53.8;28.4;36.0;31.23;1
334;53.8;28.4;33.0;31.72;1
335;53.8;28.4;33.0;31.23;1
336;53.8;28.4;36.0;30.74;1
337;53.8;28.3;31.0;31.23;1
338;53.7;28.3;35.0;33.18;1
339;53.7;28.3;33.0;32.21;1
340;53.7;28.3;32.0;31.23;1
341;53.6;28.3;35.0;31.72;1
342;53.6;28.3;32.0;32.7;1
343;53.6;28.3;34.0;32.21;1
344;53.6;28.3;35.0;29.77;1
345;53.6;28.3;31.0;33.18;1
346;53.5;28.3;34.0;33.18;1
347;53.5;28.3;31.0;32.7;1
348;53.5;28.3;31.0;32.21;1
349;53.5;28.3;33.0;31.23;1
350;53.5;28.3;34.0;31.23;1
351;53.5;28.3;32.0;35.14;1
352;53.6;28.3;34.0;32.7;1
353;53.6;28.3;35.0;30.26;1
354;53.6;28.3;32.0;30.74;1
355;53.5;28.3;35.0;31.72;1
356;53.5;28.3;32.0;32.21;1
357;53.5;28.3;32.0;32.21;1
358;53.5;28.3;34.0;33.18;1
359;53.5;28.3;32.0;31.23;1
360;53.5;28.3;33.0;33.18;1
361;53.5;28.3;35.0;30.74;1
